대여소번호,대여소명,자치구,동,상세주소,위도,경도,설치시기,2025_대여량
3575,자양사거리(서원빌딩),광진구,자양1동,서울특별시 광진구 아차산로 360 서원빌딩,37.53657532,127.0825806,2020/04/14 0:00,4
3868,자양한강도서관,광진구,자양2동,서울특별시 광진구 광진구 뚝섬로52길 58,37.52916336,127.0779877,2020/12/10 0:00,4
3878,장로회신학대학교 주기철 기념관,광진구,광장동,서울특별시 광진구 광장로5길 25-1 장로회신학대학교,37.54983902,127.1030273,2020/12/14 0:00,4
553,중곡 성원아파트 앞,광진구,중곡3동,서울특별시 광진구 동일로 459 중곡 성원APT 앞,37.57125473,127.0798035,2016/07/06 12:00,3
3510,중곡SK아파트앞,광진구,중곡4동,서울특별시 광진구 용마산로32길 32 중곡SK아파트앞,37.56864929,127.0862503,2018/03/23 14:03,3
3502,중곡역 1번출구,광진구,중곡3동,서울특별시 광진구 능동로 지하 417 중곡역 1번출구 앞,37.56565857,127.0842972,2017/11/01 12:12,3
3879,중랑천 뚝방길 산책로 입구,광진구,중곡1동,서울특별시 광진구 광진구 동일로 399,37.56628036,127.0774765,2021/06/01 0:00,4
3536,중앙농협(자양동),광진구,자양1동,서울특별시 광진구 뚝섬로 639 중앙농협(자양동),37.53181076,127.0807419,2018/10/29 0:00,3
3521,현대홈타운 뒷길,광진구,구의3동,서울특별시 광진구 아차산로69길 29 현대홈타운 뒷길,37.54342651,127.0966187,2018/02/26 10:58,4
3880,홍련봉 공원,광진구,구의2동,서울특별시 광진구 광진구 천호대로 717-18,37.54896927,127.0935288,2021/05/18 0:00,4
3571,화양 APT(횡단보도 옆),광진구,화양동,서울특별시 광진구 화양동 24-33,37.54434967,127.0654068,2020/04/13 0:00,4
3582,화양동 우체국,광진구,화양동,서울특별시 광진구 화양동 18-39,37.54798889,127.0695038,2020/04/13 0:00,4
3508,화양사거리,광진구,화양동,서울특별시 광진구 화양동 21-6 화양사거리,37.54822159,127.0678787,2017/11/01 16:00,4
542,강변역 4번출구 뒤,광진구,구의3동,"서울특별시 광진구 구의동 546-6 강변역 1,4번 출구 아래",37.53582382,127.094162,2016/06/29 12:00,1
590,건국대학교 (입학정보관),광진구,화양동,서울특별시 광진구 능동로 120 입학정보관,37.53989029,127.0733643,2017/08/30 16:27,1
3523,건국대학교 과학관(이과대) 앞,광진구,화양동,서울특별시 광진구 능동로 120 건국대학교 과학관(이과대) 앞,37.54171753,127.0801697,2018/04/16 14:09,1
592,건국대학교 학생회관,광진구,화양동,서울특별시 광진구 능동로 120 학생회관,37.54191208,127.0776367,2017/08/30 16:30,1
3569,건대병원후문,광진구,화양동,서울특별시 광진구 화양동 4-1,37.53956604,127.0724411,2020/05/07 0:00,1
3534,건대입구역 5번출구 뒤,광진구,자양4동,서울특별시 광진구 아차산로 236 건대입구역 5번출구 뒤,37.5401268,127.0694962,2018/10/29 0:00,1
3533,건대입구역 사거리(롯데백화점),광진구,자양3동,서울특별시 광진구 능동로 92 건대입구역 사거리(롯데백화점),37.53913879,127.0706177,2018/10/29 0:00,1
3573,광나루안전체험관,광진구,능동,서울특별시 광진구 능동 18,37.5513382,127.0767136,2020/04/13 0:00,1
576,광나루역 3번 출구,광진구,광장동,서울특별시 광진구 아차산로 552 광나루역 3번 출구,37.54483032,127.1042633,2016/07/06 12:00,1
544,광남중학교,광진구,광장동,서울특별시 광진구 광장동 561-15 광남중학교,37.54072952,127.1029053,2016/06/29 12:00,1
515,광양중학교 앞,광진구,자양2동,서울특별시 광진구 자양로3길 7 광양중학교 앞,37.53023529,127.0868301,2015/10/07 11:59,1
3579,광진 캠퍼스시티,광진구,화양동,서울특별시 광진구 화양동 21-62,37.54788971,127.0674515,2020/04/13 0:00,1
3520,광진경찰서,광진구,구의1동,서울특별시 광진구 자양로 167 광진경찰서,37.54251862,127.0840836,2018/02/26 10:57,1
3581,광진광장,광진구,군자동,서울특별시 광진구 군자동 374-10,37.54747009,127.073967,2020/04/16 0:00,1
3542,래미안 구의파크 스위트,광진구,구의2동,서울특별시 광진구 광나루로 545 래미안파크스위트,37.5450058,127.0900345,2018/11/14 0:00,2
3588,세종대학교(영실관),광진구,군자동,서울특별시 광진구 군자로 114 세종초등학교,37.55237198,127.0735397,2020/05/07 0:00,2
3543,세종대학교(학술정보원),광진구,능동,서울특별시 광진구 능동로 209 세종대학교,37.55137253,127.07444,2019/12/16 0:00,2
3509,세종사이버대학교,광진구,군자동,서울특별시 광진구 군자동 111-2 세종사이버대학교,37.55341721,127.0731964,2017/11/01 16:00,3
3505,신양초교앞 교차로,광진구,자양4동,서울특별시 광진구 능동로 42 신양초교앞 교차로,37.5352211,127.0683975,2017/11/01 12:40,3
3537,아차산 휴먼시아 아파트 옆,광진구,구의2동,서울특별시 광진구 천호대로 716 아차산 휴먼시아 아파트 옆,37.54848862,127.0937576,2018/10/29 0:00,3
549,아차산역 3번출구,광진구,구의2동,서울특별시 광진구 구의동 96 아차산역 3번출구,37.55122375,127.0897064,2016/06/29 12:00,3
574,아차산역4번출구,광진구,능동,서울특별시 광진구 능동로 216 아차산역4번출구,37.55184937,127.0889816,2016/07/06 12:00,3
500,어린이대공원역 3번출구 앞,광진구,화양동,서울특별시 광진구 능동로 지하210 어린이대공원역 3번출구 앞,37.54706955,127.0742722,2015/10/07 11:45,3
3529,어린이대공원정문,광진구,능동,서울특별시 광진구 능동로 216 어린이대공원정문,37.54978943,127.0759277,2018/10/31 0:00,3
3507,어린이회관,광진구,능동,서울특별시 광진구 능동 465-7 어린이회관,37.54595184,127.0780029,2017/11/01 16:00,3
3506,영동대교 북단,광진구,자양4동,서울특별시 광진구 자양동 203-22 영동대교 북단,37.53701401,127.0610962,2017/11/01 16:00,3
3517,용마사거리,광진구,중곡1동,서울특별시 광진구 능동로 373 용마사거리,37.5625267,127.0822754,2017/11/28 10:24,3
3566,우성4차아파트,광진구,자양3동,서울특별시 광진구 자양동 712,37.53507233,127.0761108,2020/04/14 0:00,3
3587,우성식품 앞,광진구,구의3동,서울특별시 광진구 구의동 201-2,37.54246521,127.0942307,2020/05/07 0:00,3
3504,원일교회,광진구,자양3동,서울특별시 광진구 아차산로 304 원일교회,37.53805161,127.0765991,2017/11/01 12:39,3
548,자양나들목,광진구,자양2동,서울특별시 광진구 자양동 738 자양나들목,37.5297699,127.0748596,2016/06/29 12:00,3
505,자양사거리 광진아크로텔 앞,광진구,자양1동,서울특별시 광진구 아차산로 355 타워더모스트 광진아크로텔,37.53701019,127.0822449,2015/10/07 11:49,3
593,자양중앙나들목,광진구,자양2동,서울특별시 광진구 자양강변길 301 광진구 자양2동 705,37.52845383,127.0780335,2017/10/18 11:17,3
546,잠실대교북단 교차로,광진구,자양1동,서울특별시 광진구 자양동 722 잠실대교북단 교차로,37.53247833,127.0850906,2016/06/29 12:00,3
3900,건국대학교 신공학관,광진구,화양동,광진구 능동로 120,37.54088593,127.0792847,2024/11/07 0:00,0
3894,노룬산시장앞,광진구,자양4동,광진구 뚝섬로 477,37.5369606,127.0627365,2024/06/26 0:00,0
3899,아차산역 2번출구,광진구,구의2동,광진구 천호대로 673,37.55105209,127.0904388,2024/09/30 0:00,0
3898,올림픽대교 북단,광진구,구의3동,광진구 아차산로 69길 19,37.54206467,127.0980682,2024/09/30 0:00,0
3882,자양2동 주민센터,광진구,자양2동 ,서울특별시 광진구 자양로3가길 28,37.52879333,127.0846329,2021/07/23 0:00,0
