,대여소번호,대여소명,자치구,동,상세주소,위도,경도,설치시기,2025_대여량
76,3566,우성4차아파트,광진구,자양3동,서울특별시 광진구 자양동 712,37.53507233,127.0761108,2020/04/14 0:00,2
68,3587,우성식품 앞,광진구,구의3동,서울특별시 광진구 구의동 201-2,37.54246521,127.0942307,2020/05/07 0:00,2
72,3504,원일교회,광진구,자양3동,서울특별시 광진구 아차산로 304 원일교회,37.53805161,127.0765991,2017/11/01 12:39,2
77,548,자양나들목,광진구,자양2동,서울특별시 광진구 자양동 738 자양나들목,37.5297699,127.0748596,2016/06/29 12:00,2
61,505,자양사거리 광진아크로텔 앞,광진구,자양1동,서울특별시 광진구 아차산로 355 타워더모스트 광진아크로텔,37.53701019,127.0822449,2015/10/07 11:49,2
73,593,자양중앙나들목,광진구,자양2동,서울특별시 광진구 자양강변길 301 광진구 자양2동 705,37.52845383,127.0780335,2017/10/18 11:17,2
78,546,잠실대교북단 교차로,광진구,자양1동,서울특별시 광진구 자양동 722 잠실대교북단 교차로,37.53247833,127.0850906,2016/06/29 12:00,2
85,3900,건국대학교 신공학관,광진구,화양동,광진구 능동로 120,37.54088593,127.0792847,2024/11/07 0:00,0
81,3886,광진구 민방위교육센터,광진구,구의동,서울특별시 광진구 구의동 623-1,37.5391922,127.0980148,2021/09/24 0:00,1
83,3894,노룬산시장앞,광진구,자양4동,광진구 뚝섬로 477,37.5369606,127.0627365,2024/06/26 0:00,0
82,3899,아차산역 2번출구,광진구,구의2동,광진구 천호대로 673,37.55105209,127.0904388,2024/09/30 0:00,0
84,3898,올림픽대교 북단,광진구,구의3동,광진구 아차산로 69길 19,37.54206467,127.0980682,2024/09/30 0:00,0
80,3882,자양2동 주민센터,광진구,자양2동 ,서울특별시 광진구 자양로3가길 28,37.52879333,127.0846329,2021/07/23 0:00,2
